plaintext,ciphertext,key,cipher_type
isbsxrulkogjkbonkqug,lkfctzmmclxdvlcttavu,dsekw,Autokey
fdiklnchbiylzbkcfudb,sgaqominrajokrqislgr,frigpsxnaeqozmthwubcldvyjk,Substitution
wtpcwgntyuatcpd ebdv,dgkxdtmgbfzgxkw vywe,None,Atbash
ojacpikhgkspgsqpgzed,lqzxkrpstphkthjktavw,None,Atbash
bh yfyazuetepxmfc wo,ou lslnmhrgrckzsp jb,None,ROT13
lyefdwnqxnsnmyqzmgos,kzaslvomkvroilyyncba,zbwni,Vigenère
hsrgpkmljfuoskrsybsp,shitkpnoquflhpihbyhk,None,Atbash
bfohiojjrmpjajvohbwd,yulsrlqqinkqzqelsydw,None,Atbash
plwgkndlr vovzyjjorg,ajazrcohxxirgqlexjqe,lyeth,Autokey
kfdzmuoouhgkppsyvouy,xsqmzhbbhutxccflibhl,None,ROT13
fvdnvxpdrypykvcxyqvo,uewmeckwibkbpexcbjel,None,Atbash
qibfluehrcawcxaepxhl,qechiuhwxxlblraapfce,4,Rail Fence
gvqvuzuzidqjisqesttv,fucuopopgqcxgdcrdkku,jvnqrhfegxytlszicmdkoubawp,Substitution
laonhiuv aqnmazqifgs,ncgrytujahyhhnzgvrgr,ccser,Autokey
hmkhaaiv paonumyxkbl,hinbmavouklka amxhpy,4,Rail Fence
rikfzhxjzsxykicstkaz,svfmvikegoylfpytgfhv,bnvhw,Vigenère
hupmcsqpm atjltgjzya,uhczpfdcz ngwygtwmln,None,ROT13
vplcccgseirmexfkh lm,qfjeyxwqgemcczbfx jo,vqycw,Vigenère
qllchznnjfvaalnh qnh,dyypumaawsinnyau dau,None,ROT13
egxubseiztieugxgxdfw,exbeziuxxfgusiteggdw,2,Rail Fence
mrtdqvmixsvfzqa q il,epmrchdbaiqrhnsivmyl,sytom,Autokey
nnahje oetemnstcdpy ,ffwoje demelfimsnyb ,wasnekxogjqrlfdycpimhtvzbu,Substitution
uuggumbmygcopnwsneuh,seftgklllsayoaiqxdht,ykznm,Vigenère
owhakffpolrtekacb fc,bjunxsscbyegrxnpo sp,None,ROT13
cdahrwyczmhldreciu r,xwzsidbxansowivxrf i,None,Atbash
skeubvpk dzorsggunst,hpvfyekp walihttfmhg,None,Atbash
dpt oqgztzigv hsxcho,fdl osyxlxcyp nwtqno,"(15, 12)",Affine
amhwpexetjqaeo iozlg,gagqrkldnlwodi kunka,gozuc,Vigenère
yphvwgfozusubbktqxll,jtrmyxigusbsddkzlhcc,adnofixrwqkcvegtlpbzsmyhju,Substitution
ecxcin iojacgogjemsu,hvohbq bfotfzflchfjz,dtrft,Vigenère
falypqtbiqpesupagevh,kfqduvygnvujxzufljam,5,Caesar
zhvtfzrkuvmzfzpbkpjg,aseguaipfenauakypkqt,None,Atbash
zyqyallnamcbu rmtmfu,abjbzoomznxyf ingnuf,None,Atbash
ktpcrnodbewhybbqjlq ,aivyixhsdvjvbcfmqjro,qpgwr,Autokey
fsoenpldtvqzoclzagfa,dqcgfzljnhwvcmlvsads,"(23, 18)",Affine
ukkwoigmrzlmsapiltwn,fppdlrtniaonhzkrogdm,None,Atbash
jimncyritjjelxmcafgc,yenulhzuglhvtqvleqdo,pwbhj,Autokey
wxsujhbmmrtzippktwje,ftbemvawwusxzrrdsfmq,ganpqylvzmdcwjoriubsehftkx,Substitution
 gnlxlotdcloxohafxil, nxodlxhfiglltcooaxl,2,Rail Fence
wybnjrgqsztiwsazhsox,npseaixhjqkznjrqyjfo,17,Caesar
vypyxaojhnvbbycsbr a,jhohmkydbrjcchiacz k,kcinptxbedwfqryolzasujgmhv,Substitution
jy dsczifethrvxlxbdt,qb whxaruvgsiecocywg,None,Atbash
osbbkrblailqsr agaew,dqfirftmbscrdrvlwsvj,pyehh,Autokey
daqchdcfrgvpwoyphgqi,qndpuqpseticjblcutdv,None,ROT13
iihedkwdqraoapfxxvni,asicycgeomsybnaphwld,skbyv,Vigenère
zqi utpdnjyweqmqfccx,pny svfadhambgksvzsv,qxqyc,Vigenère
ifffknszrbomkfoafuax,wtttybgnfpcaytcotiol,14,Caesar
feeaochiieihqloyrnom,brrzqpgkkrkgohqmcxqj,zlpirbegkvyhjxqfoctwdnuams,Substitution
ispaxajwxcpwwhdjqpcn,vfcnknwjkpcjjuqwdcpa,None,ROT13
zdgpybhpbigopmfuoogz,ycfoxagoahfnoletnnfy,"(1, 25)",Affine
wfqjqurgofewxw zmirc,jsdwdhetbsrjkj mzvep,None,ROT13
xnnjmdm yahgi yhjmvs,rctebazahmksvlyopuiq,upgvp,Autokey
njxhicjeshokskrte w ,anteswnozeyjzjklo b ,gvwfompesnjhdayqckzlxibtru,Substitution
dwmpntiinuhxlkpivous,bdceuweuchaftxjpszeh,yhqph,Autokey
eynucacjtmfexxgrcqkv,rlahpnpwgzsrkktepdxi,None,ROT13
zhwxenoxgkjtsmyeevyi,zoyxjrwxvtiscfgjjdgm,pbknjavomitefrwulqcshdyxgz,Substitution
yxywbnmttyuuyazhwqax,xexlcwdggxzzxjqmlbje,"(19, 9)",Affine
gccrsfxtoqswr pwtfzn,gflpulzvfixtkbfopwmc,adjyc,Autokey
pvnwltbsjeopuruasnpa,dbvsntzcfymdklkicvdi,"(17, 8)",Affine
gbbxilynihdtfr lcmgv,attfxjrkxbhvms jliac,ptlhqmabxoejikugdsyvnczfrw,Substitution
cxtzijoqb s wrnexgyj,nmfuhrqdp y avgxmoir,wpnexkozhrlbsgqtdvyfjcamiu,Substitution
buptkdtfujptszufahjr,lsxtcjthsdxtunshmfdv,"(25, 12)",Affine
aswfwchawmmadgczmona,nfjsjpunjzznqtpmzban,None,ROT13
binnpzgyqpxl stifgcn,gheeicdnxiya bqhodve,"(15, 17)",Affine
xmuzj y lxruyohfdz b,tzlmb f stplfvyeam d,xdhaiejyubnszwvogpkclqrtfm,Substitution
bqpfwjhuqjpnnmfl diz,hwvlcpnawpvttslr jof,6,Caesar
ilo oldurxah jskbw k,ixp kfdgstuh vtgvw w,ambwu,Vigenère
wjkeigtixryo xwdxhuf,nabvzxkzoipf onuoylw,17,Caesar
ixmbtrddmkwmwyeuhlum,dxjgumdarlrmtdfphizn,vaxfb,Vigenère
cpvszjeyudpbhtkzamhx,pcifmwrlhqcougxmnzuk,None,ROT13
oqlojbduyrnafmgkyamk,bdybwoqhleansztxlnzx,None,ROT13
b fxcqpljjzynxdarhcv,k thckyztjthbhduavmv,jokau,Vigenère
gkrkdixpeqphsxtpmmmi,tpipwrckvjkshcgknnnr,None,Atbash
jpipokmollcg zq gwqh,jivwhkfbsecz mx zwju,atnht,Vigenère
bgj hwsjmbe abaltgzc,tyb zokbetw stsdlyru,"(1, 18)",Affine
uqzftjaeirniqpwxwnif,fjaugqzvrimrjkdcdmru,None,Atbash
dmyqdiqryrfkjhvvzgmg,ajvnafnovochgesswdjd,23,Caesar
smxpouvzzoljtpnmuqbx,nrlztypsstwcuzgrydxl,vxebmakohcfwrgtzdqnuypjlis,Substitution
 qp prqnrocmuxqzghnl, prugq rnomxzhlpqcqn,3,Rail Fence
tsorcugdca nckhuafpn,zjvovnyrtchtfmhhnhzu,grhxt,Autokey
wlswkrfaiehkbejpxoba,segsfornyacfbajvixbn,nbqtarmcyjfekzxvloghwusidp,Substitution
bcxrxcogmsnganxlqnlm,bxxomnaxqlcrcgsgnlnm,2,Rail Fence
nmjsvu ohjuaufuiyylz,azwfih buwhnhshvllym,13,Caesar
eqpzqvz abhffu wxggn,wejjunn ullxto gbyuh,souke,Vigenère
ecsowulqttvboaaxziyt,ewtozcouqtbaxitslvay,3,Rail Fence
nbpuangotuiubcggyyk ,ntybougypgigkunuc ab,5,Rail Fence
 prtabzdci fotzwwblg, cegnomqpv sbgmjjoyt,None,ROT13
rqs zgwwisikafbrbxom,edf mtjjvfvxnsoeokbz,None,ROT13
krkdlvqsygfvgihdxlgi,nxccqywkxlibyhmgddfn,dgszf,Vigenère
xpjcf ajl pmklvdfegw,kcwps nwy czxyiqsrtj,None,ROT13
bxjr tvmpnsgzehewpsf,bvzsxtmgepfj pshwrne,4,Rail Fence
ooqoopxspjtxquvhdqdf,bbdbbckfcwgkdhiuqdqs,None,ROT13
hctyltxlcgcueq xx zj,upglygkyptphrd kk mw,None,ROT13
hpjdhelcnbhbbcdva r ,ucwqurypaouoopqin e ,None,ROT13
r ntvbfubkegzzqdkdjk,i mgeyufypvtaajwpwqp,None,Atbash
elhbvpw qbdhrraxmwei,ryuoicj doqueenkzjrv,None,ROT13
h jyxsjhpoxdjqothgva,u wlkfwucbkqwdbgutin,None,ROT13
uhxgtbzqtcvjluobpofm,xkajwectwfymoxresrip,3,Caesar
msi wqhqrtygpqvytkyy,nhr djsjigbtkjebgpbb,None,Atbash
oczcsofctxmuzvrvaqjp,hvsvlhyvmqfnsokotjci,19,Caesar
gcldtbbexnrliug lier,fniysccjkewibdf ibjw,"(11, 17)",Affine
ygi rcheftuqoeosskyf,dpt cumnqemvxpzkxtjq,fjlls,Vigenère
cd xwchpxjntcspyismy,chcmdcptssy wxnpixjy,4,Rail Fence
yiayzidjntgyowpzzcut,brzbarwqmgtbldkaaxfg,None,Atbash
fjftiesqrchce nkhdfz,swsgvrfdepupr axuqsm,None,ROT13
f vsuqdfjlmpwwzzyhzo,z esogxojfcjfwtpsqzi,ujauq,Vigenère
ztusudagolxsvxmiflmx,tnomoxuaifrmprgczfgr,20,Caesar
n whsbtmdgovdrpcfmcx,i xfmuhebkopbrzvyevd,wuvbnykfgcaseioztrmhjpxdlq,Substitution
ifgspftvtkohbmfpkajd,xnyumnplpvfwjtnmvarb,ajobznywxrvktqfmdguphlseci,Substitution
ugrpwahubmvlzurqdxbh,myjhoszmtendrmjivptz,18,Caesar
tbzocstnoplfilfog fl,bwjqmhbzqnprfprqi rp,twmoxriyfgvpuzqneahbskldcj,Substitution
fz wrsrtkzhurghgmiyi,sm jefegxmuhetutzvlv,None,ROT13
javpeackurp oca aarc,qzekvzxpfik lxz zzix,None,Atbash
jxassax dxgebuhuwbje,iapbbpa eatjulylvuij,"(5, 15)",Affine
tyhjspqklshvhrpavwfl,lqzbkhicdkznzjhsnoxd,18,Caesar
xwrqbnpzkihkvxqiontz,xeinfnxqhmhsmuuiweqd,airxe,Vigenère
gksylazelfvtjk uticz,dwpzixlbmcsfgl rquza,xmxbx,Vigenère
jtxggvxjcqzduhouseqr,kwgjjogkzvyifsdfnrve,"(9, 7)",Affine
pghuuvuamkryezxkaxsa,ctuhhihnzxelrmkxnkfn,None,ROT13
zgu rhrrxknwcotkdxmc,lzp qgdksjmivjsjpqhb,mtvzz,Vigenère
kdmnlwhftpuubnbrwjud,pwnmodsugkffymyidqfw,None,Atbash
lpaqfjnoozukaskufmcx,lafnouakfcpqjozksumx,2,Rail Fence
gdxrpjyzrxhgmhdibnck,yvpjhbqrjpzyezvatfuc,18,Caesar
esyqttszdwr zvbuxgxf,ftpwmmtijrv icsqlole,zsgjfeohndbyxaukwvtmqcrlpi,Substitution
lxmc vddpudnhgtnulyr,ocnx ewwkfwmstgmfobi,None,Atbash
yeuchszudmwbdookodle,yhddoecsumbokdeuzwol,3,Rail Fence
kqouprmfbileaaoxhpfo,kopmblaohfqurfieaxpo,2,Rail Fence
zapipfiyamchhvaajfj ,xxwuwdffmtaeohhygmv ,yxhmh,Vigenère
auljukipyubdtkisbaqp,gcbvtqqfkthljwhyjqco,giqmz,Vigenère
dpmvxkckdajsctbanoqe,wknecpxpwzqhxgyzmljv,None,Atbash
qaawp g fpiylgihkdvk,jzzdk t ukrbotrspwep,None,Atbash
qsekryfpewqhmfctfbqr,dfrxelscrjduzspgsode,None,ROT13
kjntafuo jtfrpwygrmu,vuyelqfz ueqcahjrcxf,11,Caesar
pdyzqghkzinylqcbksg ,qezarhilajozmrdclth ,1,Caesar
qdwttwmomcoxflmxqyji,obyttyqcqicrnxqrokls,"(19, 22)",Affine
nklcgdgttbeewdfrglqw,irzjeqqevhhkpwgvkhtb,vhohy,Autokey
vc prxhumfgvkyiwakmn,vc ckzhuzyivklbyakzg,aantc,Vigenère
kzmlsylowpthfbiqdyzw,xmzyflybjcgusovdqlmj,None,ROT13
xhdlxeizw qnilannikq,drdyrkszj ktslnhtskd,gkanu,Vigenère
belsmmuiyvakxpdjowgg,yvohnnfrbezpckwqldtt,None,Atbash
xmyspaazkaaxxhstllkj,kzlfcnnmxnnkkufgyyxw,None,ROT13
qctaesdwggirgdsbloec,durbefvuhgvjeesodmfc,nsyba,Vigenère
utjzknaahol cexrtuvo,jnudscullwa wpbziogs,pulei,Vigenère
feujgoqgfnjomj exnu ,jegdocmojxdcsd evxg ,"(5, 10)",Affine
  webaqailcxtuncdusk,  jrondnvypkghapqhfx,13,Caesar
uygjdgvygjzqbnwdfcee,bfnqkncfnqgxiudkmjll,7,Caesar
oqstzsapdgmvcjcnyrof,ljhgahzkwtnexqxmbilu,None,Atbash
cifvkokfubqmrvafucyy,ckryiofmvcyfkuqauvbf,4,Rail Fence
uismwmzzqiazthrphilx,ihzjzghrcemysxzpgbso,ozhxd,Autokey
tvroluko pdjhzlsoumc,cukjilzj soqyeitjlrf,"(9, 13)",Affine
iwtolljuumlmjzdnwbak,eoxmvvbuusvsbftpozcy,"(23, 2)",Affine
nkonywiffdmvbrumbvep,uixdsdgovxttkhotzeuj,hyjqu,Vigenère
gnadwkgiimvgiskhvawe,yfsvocyaaenyakcznsow,18,Caesar
wydwazhddngqupyutmch,wjuwnpcuudlzebjeiykc,ntkumhlcosavydxbzqgierwfjp,Substitution
ypwpyvtxgbjscv viqix,szizsdtnghvomd dqeqn,"(5, 2)",Affine
gezwhmyczhxmbyuswasd,bmrdxscbvojkdxbpibqx,vishq,Autokey
tehswkufnfi m vafpyq,grufjxhsasv z inscld,None,ROT13
 xiiigd faynavjtzvaj, kvvvtq snlaniwgminw,None,ROT13
z kwgsfqvwznbwdxfsjb,a lxhtgrwxaocxeygtkc,1,Caesar
xahflr nxczrpasussof,xlxpsafrncrausfh zso,3,Rail Fence
jughrusabetqnihxlcnn,yokapdmgivninjlqbpvu,puety,Autokey
pdsplscgwphijydzfppg,pslcwhjdfpdpsgpiyzpg,2,Rail Fence
a nysahxe olfsniexhk,x pmuxdtq encupiqtds,xwagqczdiysnlpejbvuhfkrtmo,Substitution
yykgdvz baefjcxawzyb,pinftmj ezuwtfwqnjba,rkdzq,Vigenère
gp dhmhpa kxgdmcrglx,xflcrswcduwevdzmomoj,rqyzk,Autokey
shvcudoxxzxfdmukoukv,qgfawnullzlvnxwruwrf,bcanyvmgpkrhxsuodeqjwfiltz,Substitution
hnocoprfjcykuhqbrxit,djkyklnbfyugqdmxntep,22,Caesar
jmappivguyiymvvegtds,nkmddwilxuwukiicltgr,mfqgcalvwnezkpydsbrtxijhuo,Substitution
wauiqdxzlwpmvy tculj,dzfrjwcaodkneb gxfoq,None,Atbash
xltynjujpnmecewkxdsi,xtnupmcwxslyjjneekdi,2,Rail Fence
vmsjezjsbvzcmzelbpjv,qfrkgykroqywfyglobkq,dowsgeuazkclfxibmtrnpqjhvy,Substitution
ptrsqlugbubxa lzdbie,pbdtguzbrublislx eqa,5,Rail Fence
lgomdbhwjfg z czuwvd,sqdbxirlyzn j roodfs,hkppu,Vigenère
hgzkipyuuzfl txgaipx,mxqubupleskc khzfzgh,frrkt,Vigenère
rdmodfhikwikeyntilsy,eqzbqsuvxjvxrlagvyfl,None,ROT13
xygqgkdisvedewbmslgf,kltdtxqvfirqrjozfyts,13,Caesar
nvfohignzpfrsd uutgo,muenghfmyoeqrc ttsfn,25,Caesar
ebpbzanvkdlr  pebypc,vykyazmepwoi  kvybkx,None,Atbash
hsakocforwjkrvrfksdo,crjzvhevsnazsosezrgv,"(25, 9)",Affine
i ituerytglmtvpyy xi,l ltuxkrtziftecrr wl,myahxqzglpbifojcnkvtueswrd,Substitution
ytthnaqxr gcoqimvvgc,bggsmzjci txljrneetx,None,Atbash
sf blzbqjqs ywgtnudw,qh adzarjrq gmxlicpm,saupthxybjkdwievrnqlcomfgz,Substitution
mtohklbxzlkgkxctmtnb,ovqjmndzbnmimzevovpd,2,Caesar
qkttrclymwbbteylbffa,jteeqpanhziiednaikkb,"(7, 1)",Affine
gsghnrfuopnnwb wicmh,mwmphtjcknhhix isaep,"(3, 20)",Affine
jsnlxyty pdsfnnighoi,ctpuorua yulgpwzziqr,tbcjr,Vigenère
icpsmpgho irfhiwwzuu,opepoxiwgzxxmvvenebc,gnpxc,Autokey
jszsizebnowpvsbmrdzb,wfmfvmroabjcifozeqmo,None,ROT13
kwuycvfgqpbse cek iz,jqblzfbaorwxkdrfcrvb,zuhnx,Autokey
vejbjgdpackcjjbbuuhw,xgldlifrcemellddwwjy,2,Caesar
bghha mgdujgslerycup,ytssz ntwfqthovibxfk,None,Atbash
jqobevvfdnyacr hzxv ,roanixxpbtsguv dzlx ,"(7, 6)",Affine
wpavvtymtxwojagqvrow,nfmkkwjgwbnalmtikyan,mcrpzutxslhdgvafiyewoknbjq,Substitution
irrpewmvvbemwyuwffhw,veecrjziiorzjlhjssuj,None,ROT13
oqykvsnylrn l xkqaar,ombnggdwvmfajyoxdlno,awddl,Autokey
bb gimbnilwqyvz ekd ,zz blrzyljvhiug sqo ,mzaoskbnltqjrydphwcexuvfig,Substitution
 ynbbugpgvrojtnejbho, bmyyftkteilqgmvqysl,None,Atbash
meawlianttlhrfvhzibu,zrnjyvnaggyuesiumvoh,None,ROT13
wyxzhsijjbauqthixpik,jxofzkpaagenytzpomph,egrlwuvzpahbisqmydktncjoxf,Substitution
sfskzccksxmvdajmmclz,huhpaxxphcnewzqnnxoa,None,Atbash
idkurnfsnvjesvmt jru,ebezkjdmsofcmafp hlz,wyuft,Vigenère
aubqvkfquagxktediqhl,jlavcxqvljhkxuzipvyo,"(17, 9)",Affine
iyfmwddijbntymjzgyio,xyzvmsdcsrctsvzogsre,paujq,Vigenère
ycaypguddtcuisriujea,mgjmvqoddigouypuocaj,jtgdazqhucwbrenvkpyiofxsml,Substitution
qvzphvajx ksimcdzxiw,xsoygsneq dvfblkoqfr,"(25, 13)",Affine
ygtdibuhpvslostmuikv,btgwryfskeholhgnfrpe,None,Atbash
raktfcrhmctdrrjqgdkf,izpguxisnxgwiiqjtwpu,"(25, 25)",Affine
zeswzjhimxk clujdet ,zhcteji le szmkudwxj,4,Rail Fence
hgz muvxvvkymixfamib,bif sohthhgmsutpysur,"(19, 24)",Affine
gbnvqaaisjwrln xut z,gal bairntznqsw uvjx,4,Rail Fence
gmliggvunvuzica odwc,tnorttefmefarxz lwdx,None,Atbash
d muztjlg gdqrhwslzv,q rpemioz zqdgcvjoes,"(3, 7)",Affine
ojs lomlxwovthpmclox,bwf ybzykjbiguczpybk,None,ROT13
yqphoyirjkcbvfbrqzt ,jginajdbcyzmhvmbguq ,xmzkevwndcyopsaigbrqlhtfju,Substitution
mjdepqlyoxbknlfeedjb,yvpqbcxkajnwzxrqqpvn,12,Caesar
gg ftxlbuseelwnehsqy,bgjnidrozlbpmqfildml,vawip,Autokey
zpzuxtuplicweelgeyna,zxleeputpiwegyazucln,3,Rail Fence
lninngwnrqtupsqmopcn,rxixxcyxjgpsdmguadqx,"(3, 10)",Affine
cckio drolpsxqbtwqdt,cdxdc rsqqtkoopbwilt,4,Rail Fence
gdcefnmbuqaboemltjig,twxvumnyfjzylvnogqrt,None,Atbash
dmnxpzrcctckpguwwlrd,drprmzckgldnpccuwxtw,4,Rail Fence
wnrzvzqbebzxxmtnvvlb,rimuqulwzwusshoiqqgw,21,Caesar
dcctbbfanusopubbwwxv,gnnyuusborfharuuddwk,"(19, 1)",Affine
ttlbwyktlovuucnocsat,xxwsyadxwrouultrlcgx,gslnzvmqfedwjtrbhicxuoykap,Substitution
muac eklgkvqkqcpfrqa,mkkquelqqraa gvcfckp,4,Rail Fence
aotyvnkgysleoxcagnud,zlgbemptbhovlcxztmfw,None,Atbash
hidighahcqktinvmlkxk,sbibjshszvtwbuolctgt,"(9, 7)",Affine
hglurbtzmcmihpdlypby,imlguczzyfnohbgmepnb,bgamd,Vigenère
pyvzxcappxzar nxg c ,xzbyarvxxayvw jai r ,vgrlhqitcudmkjpxnwesobfazy,Substitution
uicgwolshbaqgakw fmj,xyvlkrblmpdgzfyz vfo,dqtfo,Vigenère
ikbmywrrwbuhiplgclcj,xajyrvoovjfpxthdwhwm,qjwlbkdpxmahyintgozcfuvers,Substitution
scmwfaphxqjwtwmddfgf,ibrggqomhrzvygntckqg,qzfkb,Vigenère
 wrviniavcauhjgbigyz, nvpxzxipriqhakexkbl,ierdyckhxaujgztofvmsqpnwbl,Substitution
rinbhlcvojsnvvrqtdgt,dkjbfzgxopijxxdynlan,"(5, 22)",Affine
xvzjgyfreqnhcycwlowu,ljnxumtfsebvqmqkzcki,14,Caesar
uqvegocnwvswnofsbydv,gchqsaoziheizarenkph,12,Caesar
nmiea pabgnphffnyshr,lqfmw neyojnlcnjwwez,yexiw,Vigenère
hulykgsjqnk lvahucbf,oilcupwbtfu lynoiqgd,ngqxvdpokbulrfmztewjiyhacs,Substitution
woocpnc tuwfroxbkox ,jbbpcap ghjsebkoxbk ,None,ROT13
lrdorzanbefythzzsgnh,lrbtsrozneyhzghdafzn,3,Rail Fence
bpanlkqiz z kptqrdfb,ocnayxdvm m xcgdeqso,13,Caesar
wqlgirzvaocjlejwgova,wzlvqrvjeoaliacjggow,4,Rail Fence
gqjsgxmbrjxm kshbxtc,tjqhtcnyiqcn phsycgx,None,Atbash
cb twmowjkunxtenahco,ji adtvdqrbuealuhojv,7,Caesar
adhuzzflp lxqomnfkiv,twanssyei eqjhfgydbo,19,Caesar
hnofijyzlzzdxd wrdhw,hlrnzzwdoyz hfjddwix,5,Rail Fence
tkbkrenapuwkucwovhiz,gpypivmzkfdpfxdlesra,None,Atbash
lmlgksajkmzvqhoxmyyd,hhbzydmuqwrvzrawhofr,wvqto,Autokey
xfzcwywmiinfkop xszj,ttzrovblkelbwwxaccny,woaps,Autokey
euobzbjspghclagpnrbw,rhbomowfctupyntcaeoj,None,ROT13
lm eqsregyloeptsdqqg,yz rdfertlybrcgfqddt,None,ROT13
puvulqprolrzgxbbreqc,iivxxjdrrxknganufeto,toadm,Vigenère
oopmjj snrjbkaoohzee,bazhxxbhzasocnfxijes,nmkvo,Autokey
bwcfuhwyfsmqrypvkgsh,gbhkzmbdkxrvwduaplxm,5,Caesar
ohthokcnzvtnlrxhbzit,xqcqxtlwiecwuagqkirc,"(1, 9)",Affine
ukvnjnqykboxadqeteei,whhwshatxkbnynrsqehy,cxmjj,Autokey
iisoi fvlpfxzsdpwtls,ifzli vxstssilfdwopp,4,Rail Fence
sysbcpqvhpwdfajihefv,hbhyxkjeskdwuzqrsvue,None,Atbash
vlunggbxnbbqsuvmhxyd,aqyijjzrizzmkyapertu,vzlufnjeodcqpihxmskwyagrtb,Substitution
yo olzxnmtqrryqmmcrt,pn nmiomluziqxrvdbqu,rzzbj,Vigenère
wlmpdxdpxfecasufp ms,ncdguougowvtrjlwg dj,"(1, 17)",Affine
zqnrpedqkiugmuvimzya,zpkmmqreqiguizanduvy,3,Rail Fence
hmmsrskuy syocgbzlgv,snnhihpfb hblxtyaote,None,Atbash
coftnrudaupbfrvrnwvr,canodurwfupvvtrbrrnf,5,Rail Fence
xdot ugeqil mebxbikr,iauw hrbwly xbhaothx,lxgdn,Vigenère
qwfaupzilzkx yeggrwv,djsnhcmvymxk lrtteji,13,Caesar
s umkqo hazvtyqoaegp,skhta mq avyoepuozqg,3,Rail Fence
totcacxfmcgsqburqwaq,xbogfvlyocipvnwximbk,envef,Autokey
jlhppgctjmlyyozhnxmz,bchalpnaybrarxlslvay,sralw,Autokey
 lcbozofkluwauwpcsro,kfimimzhlztkfehjyslk,xuglu,Autokey
vdnjflvvmannoxvnkptw,onnwbgyivfyijjvaxdqr,tkanw,Autokey
iyxklkqjedv ackavcck,rbcpopjqvwe zxpzexxp,None,Atbash
 udmjzzsnololbmnhfpe, bzmwxgonbjvhbzlobpr,hwany,Vigenère
lfjzvzyxruxqsczlzxnd,icgwswvuorunpzwiwuka,23,Caesar
xmgmgdiyujxpgcjcopjv,cntntwrbfqcktxqxlkqe,None,Atbash
wfblthmnlzcxzzqruowk,ktpzhvabznqlnneficky,14,Caesar
tcfojsbyjnnlqemus ir,gpsbwfolwaaydrzhf ve,None,ROT13
gdjxlkpuk ecvjzcnryo,ibpnladga mqrpjqhzys,"(11, 20)",Affine
hgxzhoakfw hjmyrqtca,jzrwjqtecy jcgvtsmwx,ctuxc,Vigenère
rlvbwok tptqxfdyypdd,pnzbioe hxhgrltaaxtt,"(9, 18)",Affine
emmwhwkhiyszsyxkvllk,gsrpvyqmbmufxrlmbqey,cgfto,Vigenère
dopoodctljmqertuczft,czbzzcliaykonhimlvxi,grlcnxpdtywakfzbohsimuejqv,Substitution
xjnepeqop fledvazvuj,cqmvkvjlk uovwezaefq,None,Atbash
rbjlfqgwbbpjdkegdonq,eowysdtjoocwqxrtqbad,None,ROT13
liltupy wlbrlhthsttf,yvyghcl jyoeyugufggs,None,ROT13
vjs aedmkbawourgvojd,ucj vbgnxqvpdzorudcg,"(21, 21)",Affine
owjrnng pqjzs qkdfhc,sqdbppu vydze yglrxi,"(3, 2)",Affine
dnjxcltlhmczdlxnwwfh,glgcnogueonsosjpvzqe,dyxfl,Autokey
fuwbpcc psxmphwarmjl,fpru samwcxwjbcmhlpp,5,Rail Fence
tmcblsoasxymwgorbtls,gnxyohlzhcbndtliygoh,None,Atbash
uns  jyzi nijnxupqew,u ijpn jz inuqwsynxe,3,Rail Fence
fbytfwurzsspeqxnxfyd,solgsjhemffcrdkakslq,None,ROT13
yvugfzlnnasvrbkogkty,lihtsmyaanfieoxbtxgl,None,ROT13
snujhclfcixk isnhiek,nkcgdxinzesh qpjcfmh,vxixw,Vigenère
rjxnjkpdebceoaimsukc,iqcmqpkwvyxvlzrnhfpx,None,Atbash
noy yawd xssyuvehlsv,pru uwgj dvvubtycsvt,wxojyincqfesaprlmhvkbtgduz,Substitution
etfgtm eidsexladjsfq,kzqvzi kgxjkaorxtjqc,rbexkqvhgtuoifswcpjzyldanm,Substitution
byzhqgqlgxnsuugsalev,bqueyglsulvzqgngahxs,4,Rail Fence
anfljkhthgvjkrysuknv,dqcgwbmumhewbktpzbqe,"(5, 3)",Affine
sujnrv prtfqhcdxklmz,fhwaei cegsdupqkxyzm,None,ROT13
kuko oprm utdhrm vet,pfpl lkin fgwsin evg,None,Atbash
xlhzcavugkjypipstnua,dlvpkxgbfmjtjozbrccp,gaoqi,Autokey
mjkoxgfjugncfwvcwdjj,vglfyrmgjraxmtoxtcgg,"(5, 13)",Affine
 cbzgycowdzvroos ztf, pomtlpbjqmiebbf mgs,None,ROT13
bzxcucl l rppwogdnbk,yacxfxo o ikkdltwmyp,None,Atbash
wtptlvdrswfijhvdwglj,jgcgyiqefjsvwuiqjtyw,None,ROT13
sgtte ejnopvpjkmxgnp,senpxgt jovjmgptepkn,3,Rail Fence
ala tmuhqzwyuwxgpcxe,nyn gzhudmjlhjktcpkr,None,ROT13
bcbjzhxgvic mxeopikv,ajauicqtylj vqbnwldy,"(9, 17)",Affine
fggli rpuubkrkeqqevy,uwwsx abjjmqaqhllhro,pmydhuwzxnqstefblavijrgcok,Substitution
bzlqhgqrzdxdpkzqvmsp,zwnqchpcpkdtgjcnybco,yxcav,Autokey
w iszdledkhefhcliref,bvbvvzymvjkpjkmsmwlh,fitdw,Autokey
qon tvyippdjixqwxyfl,gtk bsonmxaznuytndct,qfxix,Vigenère
nsdltlxiefytgk ftyft,ucvogyplpyjqoosdmepg,hksdn,Autokey
